zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Downingia pusilla
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Gratiola heterosepala
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Hibiscus lasiocarpos var.
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Juncus leiospermus var. ahartii
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Lasthenia chrysantha
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Lepidium latipes var. heckardii
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Orcuttia tenuis
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Orcuttia viscida
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Sagittaria sanfordii
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Symphyotrichum lentum
zips/2026050565/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Biology_SBC_07-25-2025v3.PDF:Trifolium hydrophilum
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:narrow-anthered brodiaea (Brodiaea leptandra, CRPR 1B), redwood lily (Lilium rubescens,
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:CRPR 4), Cobb Mountain lupine (Lupinus sericatus, CRPR 1B), green monardella
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:(Monardella viridis, CRPR 4), and dark-mouthed Triteleia (Triteleia lugens, CRPR 4). Only
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:Stanford’s Manzanita Chaparral (Arctostaphylos stanfordiana Provisional Shrubland Alliance).
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:dominated by Stanford’s manzanita (Arctostaphylos stanfordiana ssp. stanfordiana) in the shrub
zips/2026050566/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/051326 BRRS WRA.PDF:(Arctostaphylos manzanita ssp. manzanita), and wedge-leaf ceanothus (Ceanothus cuneatus). The
