zips/2026050301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Westgate Village Draft ISMND_Accessible.PDF:Lessingia tenuis
zips/2026050301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Westgate Village Draft ISMND_Accessible.PDF:Monardella undulata ssp. undulata
zips/2026050301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Westgate Village Draft ISMND_Accessible.PDF:Delphinium parryi ssp. blochmaniae
zips/2026050301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Westgate Village Draft ISMND_Accessible.PDF:Deinandra paniculata
zips/2026050301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Westgate Village Draft ISMND_Accessible.PDF:Senecio blochmaniae
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Sacramento Orcutt Grass Orcuttia viscida
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Clarkia biloba ssp. brandegeeae
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Cuscuta obtusiflora var. glandulosa
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Downingia pusilla
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Fritillaria agrestis
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Gratiola heterosepala
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Juncus leiospermus var. ahartii
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Lasthenia chrysantha
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Lepidium latipes var. heckardii
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Navarretia myersii ssp. myersii
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Orcuttia tenuis
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Orcuttia viscida
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Sagittaria sanfordii
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Trifolium hydrophilum
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Downingia pusilla
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Gratiola heterosepala
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Juncus leiospermus var.
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Lasthenia chrysantha
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Orcuttia tenuis
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Orcuttia viscida
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Sagittaria sanfordii
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Bio Resources Information.PDF:Trifolium hydrophilum
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Jackson_ISMND_Public Review.PDF:slender Orcutt grass (Orcuttia tenuis), Sacramento Orcutt grass (Orcuttia viscida), vernal pool
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Jackson_ISMND_Public Review.PDF:(Holocarpha virgata), Fitch’s false tarplant (Centromadia fitchii), prickly lettuce (Lactuca
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Jackson_ISMND_Public Review.PDF:grass (Briza minor), common tarweed (Centromadia pungens), common microcalis (Cicendia
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Jackson_ISMND_Public Review.PDF:Douglas’ meadowfoam (Limnanthes douglasii ssp. rosea), hyssop loosestrife (Lythrum
zips/2026050302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Jackson_ISMND_Public Review.PDF:(Castilleja campestris ssp. campestris), rosy Douglas’ meadowfoam, and stalked popcorn
