zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Atriplex coronata var.
zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Stylocline citroleum
zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Stylocline citroleum
zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Monolopia congdonii
zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Cirsium crassicaule
zips/2026050815/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MRID_McAllister Ranch Solar Project_Draft ISMND_5-19-26 ocr.PDF:Eschscholzia lemmonii
zips/2026050819/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Townsend Field Improvement Project Draft Initial Study complete.PDF:Centromadia parryi ssp. congdonii
zips/2026050819/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Townsend Field Improvement Project Draft Initial Study complete.PDF:Plagiobothrys glaber
zips/2026050819/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Townsend Field Improvement Project Draft Initial Study complete.PDF:Trifolium hydrophilum
zips/2026050819/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Townsend Field Improvement Project Draft Initial Study complete.PDF:Malacothamnus hallii
zips/2026050819/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Townsend Field Improvement Project Draft Initial Study complete.PDF:Chorizanthe robusta var. robusta
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Berberis nevinii
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Brodiaea filifolia
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Pentachaeta aurea ssp. allenii
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Astragalus brauntonii
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Nolina cismontana
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Senecio aphanactis
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Atriplex coulteri
zips/2026050820/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/0t270-is-mnd-signed-05.PDF:Monardella macrantha ssp. ha/Iii
